店铺名称,类别,评分,所属片区,纬度,经度,详细地址,优惠套餐情况,营业时间,联系电话,累计售出份数,餐厅简介,特色菜
鹅城烧鹅,粤菜,4.4,海甸岛,20.054708,110.353681,美兰区海甸三东路46号燕兴城首层商,2-3人餐98元，4-6人餐258元，6-8人餐328元，10人餐418元;,周一至周日 10:00-21:00  非营业时段 2018-02-14至2018-02-18 全天,0898-66259245,662,,"铁板茄子,招牌烧鹅下腿,卤水大彩盘,铁板黑椒牛仔骨"
自然果蛋糕坊(三叶店),蛋糕,4.5,金盘,19.99809,110.30503,龙华区海垦路119号（三叶药业集团对面）,88元蛋糕2选1，98元蛋糕3选1，8寸红丝绒蛋糕118元，8寸摩卡巧克力蛋糕138元;8.8代10元;,周一至周日 06:30-23:30,0898-66832484,662,,"螃蟹包,葡式蛋挞,原味蛋挞,葡式烤吐司"
玛麗莲甜品,甜点饮品,3.5,琼山区,19.997623,110.34633,琼山区府城街道海师后门6A_A,9.5元香酥大鸡排+茉莉花茶，16.9元经典单人餐;8.8代10元;,周一至周日 10:00-23:00,15595936658,662,,"柠檬水,蟹棒,芒果班戟,八爪鱼卷,糯米糍,小吃,芒果芦荟"
yes 烤鱼(王府井广场店),烤鱼,5,秀英区,20.014177,110.255886,秀英区蓝城大道与美林路交汇处西海岸王府井生活广场第2层006-007号商铺,3人餐88元起，3人餐88元起，双人餐99元;,周一至周日 10:00-14:00 17:00-22:00,0898-68606565,664,,
吉伊烧烤,烧烤,4.5,海甸岛,20.050231,110.346833,美兰区海甸二东路与海达路交汇处，琳琅饼屋旁,3-4人餐158元，6-8人餐238元;,周一至周日 18:00-02:00,15662861666,659,,"秋刀鱼,土豆丝,牛肉串,烧鸽子,拍黄瓜,海带丝,烤馒头,干豆腐丝,牛板筋,羊肉串,猪肉串,馄饨,烤鸽子,拌菜,凉菜,鱿鱼,板筋,鸽子"
杨铭宇黄焖鸡(汽车东站店),快餐,4.3,海南工商学院周边,20.010639,110.360219,琼山区海府路汽车东站（米兰路交警大厦7号商铺）,15.8元小份单人餐，22.8元大份双人黄焖鸡;,周一至周日 09:00-21:30,18682333239,659,,"黄焖鸡,黄焖鸡米饭,小份黄焖鸡米饭"
福君咖啡,咖啡厅,3.9,滨涯路,20.003121,110.313395,龙华区金牛北路与金垦路交汇处老稻美食大街二楼,12.8元下午茶套餐，58元2-3人套餐，3-4人餐98元，5-6人餐138元;,周一至周日 08:00-23:30,0898-66830366,659,,
新海府城南食尚堂,快餐,3.8,维嘉国际,19.588977,110.757927,文昌市文建路143号（市地税局旁）,每满50减6（买单立享）;2-3人餐90元，6人餐115元，4人餐122元，4-5人餐153元，5-6人餐159元，5人餐178元，5-7人餐212元，8-10人餐352元;88代100元;,周一至周日 10:30-14:00 17:00-21:00,0898-36915959,658,,"铁板豆腐,临高乳猪,板烧鲍汁豆腐,鸽粥,黑豆腐,炒时蔬,难吃大白菜,砂锅焗时蔬,炭烧鹅,剁椒蒸鱼头,新海府烧腊拼盘,金牌烧鸡,斋菜煲,海鲜菇劲肉,海南粉,盐焗无色素凤爪"
嘉艺坊(南沙店),甜点饮品,3.7,海德路,20.009226,110.331752,龙华区南沙路昌茂澳洲园,8.8代10元，16.9代20元;,周一至周日 07:00-23:00,0898-66765768,656,嘉艺坊是一家专业从事烘焙食品生产、销售的企业，其生产的产品包括面包、蛋糕、干点、西点、生日蛋糕、月饼、粽子、年糕等几大系列产品，在海口设有多家分店，现已经发展成为海口市知名烘焙企业。嘉艺坊以产品演绎自然原味之真谛，传播“健康、自然、美味”的新概念，用其独特的专业产品、优异的品质，周到的服务深受广大消费者的青睐与赞誉。,"香芋土司,牛油排包,蛋糕面包,炭烧月饼,芒果杯,杨支甘露,绿菠天使,巧蓝至尊,朱古力蛋糕,柔情似水,果冻布丁杯,新巧克力切件,原味切件,小蛋糕,葡萄吐司,面包片"
安然纳米汗蒸养生馆(悠生海华民声店),茶馆,4.4,海口湾,20.025123,110.296239,龙华区滨海大道民声西路28号悠生海华小区A栋101房,1元中式全身熏疗60分钟1，26.8元单人养生汗蒸1次，29.9元单人刮痧/拔罐/艾灸3选1套餐1份，29.9元单人深层专业净痘1份，58元单人刮痧/拔罐+汗蒸套餐1份，58元单人面部水疗+补水面膜套餐1份，59.9元单人面部补水/提升/滋养3选1套餐1份，98元单人肩颈按摩+汗蒸套餐1次;,周一至周日 12:00-22:00,13807675178,654,,
麻辣有货(文明东路店),川菜,4.9,美兰区,20.037338,110.369764,美兰区文明东路朝霞路内进20米,双人餐128元，3-4人餐238元，3-4人餐278元，10-12人餐1588元，10-12人餐1588元;92代100元;,,0898-65312605,654,,
胡佬世家,传统甜品,4.7,琼海,19.238734,110.469811,琼海市元亨街基本点KTV斜对面华莱士旁,7.8元双皮奶，12.8元特惠单点;,周一至周日 11:00-00:00,0898-62813367,654,,
影子酱寿司,日式寿司,5,永安西路,19.09598,108.65551,东方市八所永安西路24号（天南货仓超市对面）,14.8元寿司饮品单人套餐;,周一至周日 09:00-21:00,13036058545,652,,
清心丫宝,奶茶/果汁,5,新城吾悦购物广场,19.976617,110.33857,龙华区椰海大道新城吾悦广场第吾大道金街S5123A五号门出口,8元波霸奶茶，8.8元青茶玛奇朵，10.8元西瓜奶盖;,周一至周日 10:00-22:30,13198917988/18889757055,654,,
茶玛泰餐厅,泰国菜,5,博鳌,19.159451,110.585173,琼海市博鳌镇博文路中信风情广场步行街工商银行楼上,双人餐88元，2-3人餐98元，4-6人餐168元，3-4人餐198元，6人餐279元，4人餐280元;,周一至周日 10:00-14:00 16:30-20:30,0898-62775568,653,,"马来咖喱鸡,香草肉碎生菜包,海皇蟹肉南瓜羹"
大嘴巴火锅城,川味火锅,3.2,中兴大街,19.51969,109.571687,儋州市中兴大街苏荷酒吧旁,90代100元;,周一至周日 11:00-23:00,0898-23358168,648,,
顺天肥牛,火锅,4.5,金盘,19.995963,110.314259,龙华区南海大道81号京江广场麦当劳2楼,单人餐58元，双人餐98元起，3人餐168元，4人餐288元，6人餐428元，6-8人餐688元;50代100元，79.9代100元;,周一至周日 11:30-21:30  非营业时段 2018-02-08至2018-02-22 全天,0898-66813307,652,,
绿佳源餐厅,粤菜,4.2,万绿园,20.031845,110.319452,龙华区滨海大道绿佳源酒店2楼,28.8元单人精致简餐;,周一至周日 07:00-01:00,0898-68522116,648,,
313羊庄铁锅烀羊肉,羊肉火锅,5,凤翔路,19.98903,110.3642,琼山区凤翔东路与中山南路交叉口（蓝海迎宾大酒店122号二楼）,9折（买单立享）;双人餐98元起，4人餐265元起，6人餐355元起，8-10人餐577元，10-12人餐728元;85代100元;,周一至周日 10:00-22:00,0898-65955313,649,,
凉爽风情(泰龙城一店),甜点饮品,4.3,龙华区,20.036003,110.337906,龙华区大同二横路泰龙城南门，养鱼塘正对面（泰龙城小吃街靠近四面佛）,13.8元琼海清补凉，15.9元超美味多芒小丸子;,周一至周日 10:00-24:00,13617542504,645,,"芒果肠粉,椰奶鸡屎藤,椰奶水果小丸子,榴莲冰,榴莲绵绵冰,红心番石榴绵绵冰,芒果小丸子,芒果爽"
中银海航商务酒店亚洲餐厅,日本菜,4.5,万国大都会,20.029532,110.340592,龙华区海口大同路38号中银海航商务酒店1楼,双人餐38元，3-4人餐48元，3-4人餐68元，3-4人餐98元，2-3人餐138元，3-4人餐168元，2-3人餐168元，4-6人餐198元，3-4人餐238元，3-4人餐298元，4-6人餐298元，6-8人餐328元，6-8人餐398元，4-6人餐498元，4-6人餐598元;,周一至周日 06:30-10:00 17:00-21:00,0898-66561682,646,,"上烫波菜,蒜蓉蒸青口螺,猪脚炖红豆,美极虾,猪脚红豆,香煎多春鱼,山药排骨,骨头汤,排骨山药汤"
文昌温德姆至尊豪廷大酒店,火锅自助,4.8,文昌,19.539904,110.840157,文昌市文城镇银滩路1号,39元甜蜜时光套餐，128元英式下午茶A款，158元英式下午茶B款，168元4人棋牌包厢;,周一至周日 17:30-22:00,0898-63599999-8555,645,,
欧美滋蛋糕店(军屯店),蛋糕,5,东坡路,19.52633,109.570713,儋州市东坡路181号,10寸欧式一层水果蛋糕58元，12英寸蛋糕88元起，12寸欧式二层水果蛋糕（12+8）128元，双层欧式水果蛋糕188元;15代20元;,周一至周日 07:00-00:00,0898-23861081,643,,
德香盐焗鸡,小吃快餐,5,高登街,19.998389,110.360931,琼山区府城街道高登东街156号,75元3~4人餐，78元3~4人餐[复制];,周一至周日 09:00-24:00,13337624919,642,,"土罐盐焗鸡,煎鸡蛋,烫菜,生菜"
宜多芝(桂林洋大学城店),蛋糕,5,美兰区,19.978623,110.514877,美兰区桂林洋大学城校际二号路海经贸商业街（康明眼镜旁）,6英寸蛋糕45元起，水果蛋糕（水果布丁双夹心）55元，8英寸蛋糕55元起，火龙果千层蛋糕55元，彩虹蛋糕（适合4-6人）68元，芒果千层蛋糕68元，榴莲千层蛋糕68元，火龙果千层蛋糕（适合4-6人）68元，芒果千层蛋糕（适合4-6人）108元，比基尼蛋糕108元，超值马卡龙108元，榴莲千层蛋糕（适合4-6人）118元，心相印138元，许愿天使138元，你知我心158元，网红数字蛋糕168元，告白...;,周一至周日 09:00-00:00  非营业时段 2018-02-08至2018-02-22 全天,18089865596,640,,"火龙果千层蛋糕,彩虹蛋糕（适合4-6人）,香蕉千层蛋糕,榴莲千层蛋糕,榛子巧克力溶岩,水果蛋糕（水果布丁双夹心）,芒果千层蛋糕,彩虹蛋糕"
Patio餐厅,咖啡厅,3.7,观澜湖/冯小刚电影公社,19.91733,110.33103,美兰区羊山大道39号电影公社旁观澜湖新城7号楼,29.8元下午茶单人套餐，48元下午茶单人套餐，48元健康简食套餐;,周一至周日 10:00-22:00,0898-66356619,639,,
港亿丰茶餐厅,快餐,4.8,美兰区,20.02365,110.351217,美兰区蓝天路名门广场西门（内进十米）（必胜客旁）,12.8元港式特惠烧鸭饭，13.8元单人特惠下午茶，14.9元单人特惠套餐饭，16.8元下午茶16.8元，17.9元单人商务套餐饭，19.9元A+B+C下午茶，118元超值3-4人套餐;21代30元;,周一至周日 09:30-22:30,17372041499,655,,
N咖啡(罐头厂分店),咖啡厅,4.8,罐头厂,19.608805,110.759291,文昌市文城镇文霞路罐头厂同福酒店侧门,单人餐29.9元起，双人餐58.8元;88代100元;,周一至周日 13:00-00:00,13519888808,638,,"奶盖绿,香草吐司,摩卡冰乐,方块土司,芒果肠粉,冰水果茶,土司,方片吐司"
面包好了(海口友谊阳光城店),蛋糕,4.4,新友谊阳光城,20.023423,110.323924,龙华区金龙路2号友谊阳光城一楼,25元舒芙蕾蛋糕卷套餐，28元任选欧包套餐，32元任选蛋糕卷套餐，32元任选切件蛋糕套餐，58元蛋糕4选1，红丝绒裸蛋糕89.9元，126元蛋糕4选1，206元蛋糕4选1，262元蛋糕4选1;40代50元，75代100元;,周一至周日 11:00-22:00,0898-68525007,646,,
小二楼,西北菜,4.7,海甸岛,20.06273,110.32459,美兰区海甸岛万恒路海天逸舍二楼,单人餐11.8元，双人餐59.9元，3-4人餐159元;,周一至周日 10:00-14:00 17:00-21:00,0898-66553579,637,,
北平楼,老北京火锅,3.8,海甸岛,20.048512,110.349021,美兰区海甸一东路西溪里商业街2楼,35元老北京炸酱面套餐，4-5人餐269元，6人餐285元;89代100元;,周一至周日 11:00-22:30  非营业时段 2018-02-13至2018-02-24 全天,0898-66152095,637,,"豌豆黄,驴打滚,艾窝窝,开口笑,素丸子,糖火烧"
泰美味泰国主题餐厅,东南亚菜,3.5,维嘉国际,19.58963,110.757991,文昌市文建路129号（维嘉国际大酒店斜对面）,双人餐58元起，4人餐128元;88代100元;,周一至周日 10:00-14:00 17:00-21:00,0898-63399336,635,,"甜酸鱼,菠萝炒饭,咖喱蟹,咖喱虾,泰国青柠蒸鱼,泰式空心菜,泰式虾饼,泰美味咖喱炒螃蟹,泰美味秘制烤肉,金不焕炒肉沫,金不焕炒鲜鱿,泰式烤肉,泰式柠檬鱼,泰式凉拌海鲜,咖喱炒蟹,金不换炒肉,东阳功,泰式酸辣鱼,日本豆腐,泰皇炒饭"
五月碧园(日月广场店),粤菜,3,日月广场,20.016265,110.350708,琼山区日月广场摩羯座4F,68代100元;,周一至周日 11:00-21:30,0898-66780083,634,,
姑娘手肉夹馍(高登东店),肉夹馍,3.6,高登街,19.998216,110.360957,琼山区高登东街182号（富皇宾馆隔壁）,单人餐9.9元起，双人餐29.9元;,周一至周日 早午餐 07:00-00:00,0898-65850967,635,,
黄氏玉米汁,奶茶/果汁,4.4,万绿园,20.035121,110.318282,龙华区绿园路民俗风情街D63号,8.5折（买单立享）;,周一至周日 10:00-24:00,13519834211,632,,"招牌玉米汁,纯玉米汁,香蕉汁,鲜榨果汁,甜玉米,菠萝汁,紫薯汁,五谷杂粮饮"
自然果蛋糕坊(万国店),甜点饮品,3.9,大同路沿线,20.03261,110.3374,龙华区大同街道义龙东路大同二里34号楼,88元蛋糕2选1;,周一至周日 06:30-23:30,0898-65899798,631,,"美味芝士蛋糕,三明治,蛋黄酥,小馒头,面包蛋糕,蛋糕胚,纯牛奶蛋糕,螃蟹包,葡式蛋挞,原味蛋挞,葡式烤吐司,抹茶慕斯,芒果千层,圣女果"
甘茶度(绝味鸭脖店),奶茶/果汁,4.3,美兰区,20.01967,110.3678,美兰区振兴南路与海府二横路交叉口一楼（海口实验中学高中部）,8.5折（买单立享）;10元招牌奶盖;,周一至周日 09:00-23:00,18889928946,628,,"鲜柚柠檬蜜,金桔洛神梅,芒果绿茶,茶度奶绿,芒果茶绿,金桔蜜柚"
阿俪诗家,甜点饮品,3.9,儋州,19.521735,109.579894,儋州市那大镇兴隆路小欧洲对面,9.5折（买单立享）;,,0898-36958052,628,,"油葱肉松蛋糕,古早奶茶,蜂窝蛋糕,古早味奶茶,巧克力爆浆,热奶茶,现做蛋糕"
有味冒菜(灵山店),冒菜,4.5,灵山镇,19.963391,110.43974,美兰区琼文大道156-3号今日酒店一楼,9.5折（买单立享）;,周一至周日 09:00-21:30,18189785360,628,有味冒菜,"素菜,香锅,特色牛肉,柠檬汁,荤菜,水晶包,麻辣三鲜,牛肉,青蛙,香芋,撒尿牛肉丸"
定安爹美食第一家,海南菜,3.8,凤翔路,19.988829,110.36365,琼山区凤翔东路130-3号1楼(万家惠超市旁边),2-3人餐88元，4-6人餐178元，6-8人餐188元;,周一至周日 09:00-03:00,18289770083,627,,"猪肚鸡,猪肚包鸡,乳羊火锅"
海阔天空香辣坊,川菜,4.1,南沙城市广场/万瑞广场,20.00297,110.32608,秀英区南沙城市广场哥俩好扎啤城内(第一档口),2-3人餐65元，2-3人餐98元，2-3人餐108元，3-4人餐158元;,周一至周日 17:00-02:30,13518071901,627,,"酸萝卜,肥肠,虾,葡萄,兔肉,芽菜炒饭,腐竹,黄瓜,豆芽,豆皮,土豆,洋葱,萝卜,鲜基围虾,香辣小龙虾（1斤）,冻虾,白米饭,土豆丝,蛙肉,香辣蟹"
悠享多多披萨店,披萨,4.3,海南医学院及周边,19.984773,110.331643,龙华区学院路城西商业广场1楼,1-2人餐29.9元;,周一至周日 09:30-23:30,13637523115,627,,
独家记忆特色烤鱼店(全国连锁店),特色菜,4,三角公园,19.107657,108.659176,东方市公园街金鑫宾馆二楼,88代100元;,周一至周日 10:00-14:00 17:00-03:00,18689610666,627,,"烤鱼（草鱼）,黄豆芽,油豆腐,大白菜,米饭,干豆腐,烤鱼（小湄公鱼,草鱼,湄公鱼,白骨鱼,清江鱼,干锅全虾,干锅鸭头,干锅排骨虾,太极金钢煲,油焖小龙虾,海鲜大咖"
天天饿坐聚,川菜,4.4,海甸岛,20.068778,110.344636,美兰区和平大道61号（近六东路）,每满50减4（买单立享）;双人餐69元;46代50元;,周一至周日 11:00-14:00 17:00-20:00,0898-66266837/18976788769,626,,"青椒焖谷鸭,剁椒鱼头,紫菜蛋汤,酸辣土豆丝,家常味土鸡煲,西红柿蛋汤,农家小炒肉,麻婆豆腐,清炒藕片,野鸭养生煲,家常味鱼头,蒸蛋,干煸四季豆,清炒苦瓜,香干炒肉,千叶豆腐,绿豆粥"
曼可基(大园路店),快餐,4,琼山区,19.990403,110.351921,琼山区大园路73号（V8酒店旁）,5.9元香辣鸡腿堡，10.8元汉堡+小吃+中可，27.9元双人餐，69.9元3-4人餐;16.8代20元;,周一至周日 09:00-22:00,17789776870,625,,
三嫂子香辣坊,烤鱼,4.7,海甸岛,20.054115,110.350969,美兰区海甸三东路丽花广场对面（美特家对面）,2-3人餐68元，2-3人餐69.9元，3-4人餐88元;,周一至周日 11:00-13:30 17:30-21:00,15108990688,624,,
福昌蛋糕,蛋糕,4.9,龙华区,20.029203,110.334699,龙华区龙昆上村17-1号一楼铺面（海医附属医院）,1.5元蛋糕3选1，49.9元蛋糕3选1，68元蛋糕4选1，69.9元蛋糕3选1，98元蛋糕3选1，12英寸蛋糕118元起，118元蛋糕3选1，女皇蛋糕128元，138元蛋糕3选1，138元蛋糕3选1，3层单车架水果/巧克力/水果巧克力蛋糕（3层分别为：12寸、10寸、8寸）188元，6层生日蛋糕458元，10层水果巧克力蛋糕（底层20寸）880元;25.8代30元;,周一至周日 06:30-22:00,13876177076/13519868164,622,,
小新的店,奶茶/果汁,4.4,海甸岛,20.050014,110.345733,美兰区海甸二东路18号水岸星城,每满20减4.1（买单立享）;,周一至周日 10:30-23:00,18689811149,622,,"雪顶咖啡,薄荷蜂蜜,招牌奶茶,烧仙草,冰沙,梅子绿,抹茶奶绿,烧仙草奶茶,招牌咖啡"
捷浪蛋糕,蛋糕,4.4,海甸岛,20.052778,110.340383,美兰区海甸岛人民大道20号（凤凰时点大厦旁）,10英寸蛋糕88元起，8英寸蛋糕88元起，四重奏慕斯蛋糕109元，12英寸蛋糕115元起，浪漫玫瑰心形138元，八品味139元，14英寸蛋糕148元起，慕斯蛋糕169元，巧克力蛋糕169元，皇冠蛋糕198元，数码蛋糕，私人订制199元，三层单车架子蛋糕269元，慕斯蛋糕289元，黑森林加榴莲雪漂289元，六层架子蛋糕558元;85代100元;,周一至周日 08:00-23:00,18689603353,621,,"水果蛋糕,小蛋糕,巧克力"
舌上舞,快餐,4.3,万达广场,19.979274,110.279057,秀英区224国道万达广场3楼,4人餐138元;,周一至周日 10:00-22:00,0898-68683929,621,,
海口朗廷酒店廷廊餐厅,其他美食,4.2,万绿园,20.02974,110.3157,龙华区滨海大道77号中环国际广场一楼,268元经典双人下午茶;,周一至周日 09:00-19:00,0898-66969777,623,,"司康饼,英式下午茶"
曼可基(海甸岛店),汉堡,4.2,海甸岛,20.063824,110.33459,美兰区海岸路20号（得利新村沿街商铺）,10.8元汉堡+小吃+中可，27.9元双人餐，69.9元3-4人餐;16.8代20元;,周一至周日 08:00-00:00,0898-66271827/18858815358,620,,
海口希尔顿酒店云端粤式早茶(御玺·中餐厅),其他地方菜,4.3,龙华区,20.023558,110.306108,龙华区滨海大道109-9号海口希尔顿酒店33层,40代50元;,周一至周日 11:30-14:30 17:30-22:00,0898-36798888-6517,619,,"旺角牛腩粉,晶莹虾饺皇,点心拼盘,香茜马蹄鱼茸饺,干蒸烧卖皇,南翔小笼包,耗皇叉烧包,农家蒸菜包,香滑流沙包,健康麦馒头,稻香燕麦包,布拉鲜虾肠粉,布拉牛肉肠粉,笼仔排骨肠粉,布拉叉烧肠粉,布拉素斋肠粉,鲜竹牛肉球,黑椒牛仔骨,XO酱金钱肚,胡椒炖猪肚,七彩牛百叶,鲍汁凤爪,排骨拼凤爪,蒜香蒸排骨,豉汁蒸凤爪,后安河粉汤,鲜虾腐皮卷"
慕上烘焙工坊(万达店),蛋糕,4.8,万达广场,19.979262,110.279336,秀英区万达广场一楼1055室（麦当劳旁边）,【儿童系列】皮皮猴98元，【儿童系列】粉色童年98元，【儿童系列】熊熊大战光头强98元，【儿童系列】小黄人森林探险98元，【儿童系列】萌萌兔98元，【儿童系列】皇帝企鹅98元，【儿童系列】维尼熊宝宝98元，【深爱系列】爱的真谛118元，【深爱系列】一心一意118元，【深爱系列】天鹅之恋118元，【深爱系列】心心相印118元，伊甸园138元，青葱岁月138元，雪地故事138元，红磨坊138元，【祝福...;,周一至周日 07:00-23:00,0898-68603260,618,,
新尊王者休闲饮吧,饮品店,3.7,国兴大润发,20.021591,110.376985,美兰区美祥路盛贤景都1-119号（白龙派出所正对面）,5.9元秘制烤中翅（一对）;,,0898-65304744/18889899222,617,,
蛙老板,特色火锅,0,海秀中路,20.019683,110.328177,龙华区海秀中路54号海秀中路与明月路交叉口东侧,单人餐49.9元起，3-4人餐78元，6人餐158元起，8人餐288元;50代100元，80代100元;,周一至周日 10:30-05:00,0898-66751451,618,,
天然居茶艺馆,海南菜,4.1,海秀中路,20.016196,110.30044,龙华区滨贸路22号（近如家酒店）,9.9元单人下午茶，15.8元单人早餐套餐，22.8元单人商务套餐，58.8元2人A款套餐，118元4人A款套餐;79.9代100元;,周一至周日 08:30-00:00,0898-36316111,622,,
美苑假日·海滋味餐厅,其他地方菜,5,美兰区,20.025922,110.371525,美兰区美苑路美苑假日酒店2楼（海南省地震局旁）,9.9元单人精致下午茶，15.8元轻奢下午茶套餐，48元双人美味套餐，3-4人餐88元;24.6代30元，82代100元;,周一至周日 11:00-14:00 17:00-20:30,0898-65230485,623,,
巴蜀客烤鱼,烤鱼,3.3,秀英小街,20.006356,110.292109,秀英区美华路5号（加佳美食园）,2-3人餐68元，2-3人餐98元，3-4人餐128元;,周一至周日 晚市 17:00-02:00,0898-68664964/15298232315,616,,
星食茶(海大五食堂店),奶茶/果汁,3.9,海甸岛,20.06219,110.3345,美兰区海甸岛海南大学第五食堂南百果园出口（百果园水果摊）,5元美味饮品6选1，5.6元星食茶招牌饮品6选1;12.9代15元;,周一至周日 09:30-23:00,18789286100/13922859168,614,,
有喜火锅,重庆火锅,4.9,金龙路,20.022996,110.31709,龙华区金龙路怒放酒吧与平安银行之间巷子里金州路五洲商厦3楼原锦官坊对面,双人餐118元起，4人餐228元起，6人餐388元;50代100元，88代100元;,周一至周日 11:00-04:00,0898-66766699,613,,
维多斯汉堡炸鸡简餐,快餐,3.1,琼山区,19.983546,110.365821,琼山区振发横路,9.8元汉堡超值单人餐，16.9元招牌手扒鸡1只，26元汉堡双人餐，39.9元汉堡三人餐;,周一至周日 10:30-21:00,0898-65800212,616,,
富鹏花园酒店咖啡厅,咖啡厅,3.8,海南医学院及周边,19.987718,110.329629,龙华区城西路80富鹏花园酒店二楼,9.5折（买单立享）;,周一至周日 08:00-24:00,0898-66979100,613,富鹏花园酒店是一家集商务、旅游、休闲为一体的综合型花园式酒店；坐落于海口市闻名于世的建材城城西路，与龙昆南大道、南海大道、椰海大道相连互通，地理位置优越，与海南医学院、海大农学院、中国农科院、海口市中医院相邻；距离海口火车东站、汽车南站一公里；距离海口美兰国际机场和秀英港、南港码头车程15分钟以内；各路经过酒店通往市区内的公交巴士四通八达。酒店整体按中式现代风格建造装修，大堂富丽堂皇，融合了东南亚热带风情与中式现代元素，自然而现代。,"果盘,棋牌包厢,柠檬泡沫红/绿茶,陈年普洱,白沙绿,安溪铁观音,小吃,铁观音,金骏眉,武夷大红袍,招牌缤纷水果茶"
腾鹏咖啡厅,咖啡厅,3.5,琼山区,20.01091,110.36387,琼山区兴丹2横路5号腾鹏大酒店2楼,9.9元下午茶，29.8元单人商务简餐，3-4人餐98元，98元棋牌包厢4人餐;,周一至周日 10:00-22:00,0898-36300699/36681791,612,,"剁椒鱼头,双煎蛋,姜葱炒文昌鸡,腾鹏红烧肉,尖椒牛肉"
福临德豆捞火锅,豆捞,3.6,银海路,19.258052,110.460121,琼海市银海路金凰对面,双人餐58元起，3-4人餐168元，5-6人餐198元;88代100元;,周一至周日 10:00-14:30 16:00-22:00,0898-62920052,614,,
宝岛万家(培龙店),蛋糕,4.2,忠介路,19.995009,110.354217,琼山区高登西街洗马桥路29号（培龙市场斜对面）,48元蛋糕3选1，58元蛋糕3选1，138元蛋糕3选1，158元蛋糕3选1，168元蛋糕3选1，198元蛋糕3选1，258元蛋糕3选1;,周一至周日 07:00-23:00,13807669003/18689669003,610,宝岛万家海口老牌蛋糕店，高端品质，物美价廉。,"二层水果蛋糕,二层巧克力水果蛋糕,二层鲜奶油蛋糕"
庄满记、潮汕特色手信,糕点店,4.7,解放西/泰龙城,20.03689,110.33881,龙华区大同路泰龙城新小吃街,17元绿豆红豆/板栗饼，49.9元绿豆饼套餐;15代20元;,周一至周日 10:30-21:00,13876817107/18876600799,611,,
黑店,快餐,5,龙华区,20.026139,110.324018,龙华区国贸一横路1号国贸都市家园103房,6.9元美味下午茶;,周一至周日 08:00-21:00  非营业时段 2018-02-15至2018-02-21 全天,13976111516,609,,
大通冰室,奶茶/果汁,4.1,新友谊阳光城,20.023936,110.324856,龙华区金龙路2号友谊阳光城2楼,8.8元招牌奶茶3选1，9.8元鸡蛋仔，9.9元经典甜糯，12.8元水果茶;15.8代20元;,周一至周日 09:00-22:30,18189700986/18100967958,612,,
万泉河旧事农家庄,海南菜,4.4,琼海,19.158392,110.561566,琼海市博文路博鳌禅寺东行350米路南（朝烈村村口）,5-6人餐288元;,周一至周日 10:00-22:00,0898-62779666,608,本酒店客房温馨舒适，服务周到热情，是您出差旅行的优选之地。,"果汁万泉河鱼,人民公社豆腐,干煸海鸭,捞叶煎蛋,蒜蓉蒸丝瓜,椰丝黄金饼,农家小炒肉,博鳌鱼,河虾煎花肉,感恩老娘肉,白灼虾,咸肉茄子煲,椰子糕,铁板鱿鱼,拌黄瓜,1,萝卜干,椰子汁,农家菜"
UU咖啡,咖啡厅,4.8,海甸岛,20.065707,110.33685,美兰区人民大道西侧海岸尚城2楼,8.9折（买单立享）;,周一至周日 12:00-24:00,18289378858,608,,卡布奇诺
仙沟牛杂鱼香阁,川菜,4.9,屯昌县,19.35668,110.099865,屯昌县文化路74号（农业银行斜对面）,双人餐68元起，3-4人餐118元;,周一至周日 09:00-14:00 16:30-21:00,0898-67830599,607,,"茶位费,豆腐,猪血,豆芽,锅底+汤底=20元,白骨鱼或黑鱼2.5斤98元,青菜4元,千张,米饭1元,青瓜,锅底,米饭,香辣田鸡煲,金针菇,豆芽菜"
华莱士(昌江二店NO.62),汉堡,3.3,昌江县,19.262859,109.052082,昌江县昌江石碌镇万福路103号,25.9元双人套餐，30元2人经济套餐;,周一至周日 08:00-22:00,0898-26777726,607,,
"动力主义(鸡排,皇茶,烤肉)",快餐,5,美兰区,20.027183,110.37269,美兰区海府一横路下贤二村552号,9.8元单人鸡排，9.8元单人鸡排，14.8元奥尔良大鸡块饭，16.8元单人鸡排;,周一至周日 11:00-23:30,18976634755,607,,
海南至尊凤爪(海甸岛店),熟食,5,海甸岛,20.052249,110.347269,美兰区海达一横路8号107（小北方餐厅对面）,10元至尊凤爪一份，22元至尊凤爪一份，42元至尊凤爪两份;,周一至周日 09:00-21:00,13907567663,605,,"至尊凤爪,至尊凤爪（大盒）"
松枝记,新式甜品,5,龙华区,19.976712,110.338878,龙华区椰海大道南第吾大道S6-301（吾悦广场3楼蛙小侠对面点酱与麦田香草中心过道出口直走10米）,5.9元松子记饮品，12.8元鸡蛋仔冰淇淋;27.8代30元;,周一至周日 09:00-22:00,13360222839,606,,
美好时光,甜点饮品,5,昌江县,19.2557,109.055913,昌江县石碌镇子中路27号112（矿区中学门口斜坡处）,1元原味珍珠奶茶一杯，5.5元套餐，9元盆栽冰淇淋，19.5元双人套餐，25元套餐，29.8元三人餐;8.9代10元;,周一至周日 09:00-21:00,0898-26637564/15338981083,602,现调奶茶、鲜榨果汁、自制甜品、小吃,"原味珍珠奶茶,原味奶茶,香蕉船,港式奶茶,冰淇淋,水果盘"
